"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Extractor";NA;14;0
"Building";"SpawningPool";NA;12;0
"Unit";"Overlord";"Larva";16;0
"Unit";"Zergling";"Larva";17;1
"Unit";"Zergling";"Larva";17;1
"Building";"Extractor";NA;17;0
"Unit";"Overlord";"Larva";17;0
"Building";"RoachWarren";NA;17;0
"Unit";"Roach";"Larva";19;2
"Unit";"Roach";"Larva";19;2
"Unit";"Roach";"Larva";19;2
"Unit";"Roach";"Larva";19;2
"Unit";"Roach";"Larva";27;2
"Unit";"Overlord";"Larva";27;0
"Unit";"Roach";"Larva";29;2
"Unit";"Roach";"Larva";31;2
"Unit";"Roach";"Larva";31;2
