"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Stalker";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Building";"Pylon";NA;27;0
"Building";"TwilightCouncil";NA;23;0
"Unit";"Adept";"Gateway";26;2
"Building";"Gateway";NA;34;0
"Building";"Pylon";NA;37;0
"Building";"DarkShrine";NA;32;0
"Building";"Gateway";NA;37;0
"Building";"Pylon";NA;41;0
"Building";"Assimilator";NA;41;0
"Building";"DarkTemplar";NA;43;0
"Building";"Assimilator";NA;41;0
"Building";"DarkTemplar";NA;43;0
"Building";"Pylon";NA;42;0
"Building";"Gateway";NA;38;0
"Building";"DarkTemplar";NA;48;0
"Building";"DarkTemplar";NA;50;0
"Unit";"Sentry";"Gateway";56;2
"Unit";"Sentry";"Gateway";56;2
"Unit";"Sentry";"Gateway";56;2
"Unit";"Sentry";"Gateway";56;2
"Building";"Gateway";NA;56;0
"Building";"Gateway";NA;56;0
"Building";"Pylon";NA;64;0
"Building";"Gateway";NA;56;0
"Building";"Pylon";NA;64;0
"Building";"Gateway";NA;56;0
"Building";"Gateway";NA;56;0
"Building";"Pylon";NA;64;0
"Building";"Gateway";NA;56;0
"Building";"DarkTemplar";NA;64;0
"Building";"DarkTemplar";NA;64;0
"Unit";"Zealot";"Gateway";64;2
"Unit";"Zealot";"Gateway";64;2
"Upgrade";"Charge";"TwilightCouncil";56;0
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";68;2
