"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Building";"TwilightCouncil";NA;27;0
"Building";"RoboticsFacility";NA;26;0
"Unit";"Immortal";"Robotics Facility";32;4
"Building";"Gateway";NA;35;0
"Building";"Gateway";NA;35;0
"Unit";"Zealot";"Gateway";39;2
"Building";"Pylon";NA;39;0
"Building";"Gateway";NA;35;0
"Building";"Gateway";NA;35;0
"Building";"Pylon";NA;39;0
"Building";"Pylon";NA;39;0
"Building";"Gateway";NA;35;0
"Unit";"Zealot";"Gateway";41;2
"Unit";"Zealot";"Gateway";41;2
"Unit";"Zealot";"Gateway";41;2
"Unit";"Zealot";"Gateway";41;2
"Unit";"Zealot";"Gateway";41;2
"Building";"Gateway";NA;39;0
"Building";"Gateway";NA;39;0
"Upgrade";"Charge";"TwilightCouncil";35;0
"Building";"Pylon";NA;41;0
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
"Unit";"Zealot";"Gateway";51;2
