"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Building";"Refinery";NA;14;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Unit";"SCV";"Command Center";20;1
"Building";"SupplyDepot";NA;20;0
"Unit";"SCV";"Command Center";21;1
"Building";"Refinery";NA;21;0
"Building";"Factory";NA;19;0
"Building";"BarracksReactor";NA;20;0
"Unit";"SCV";"Command Center";22;1
"Building";"CommandCenter";NA;19;0
"Unit";"SCV";"Command Center";24;1
"Building";"BarracksTechLab";NA;24;0
"Unit";"Hellion";"Factory";24;2
"Unit";"Hellion";"Factory";24;2
"Unit";"SCV";"Command Center";25;1
"Building";"Starport";NA;23;0
"Building";"SupplyDepot";NA;29;0
"Unit";"SCV";"Command Center";30;1
"Unit";"Hellion";"Factory";29;2
"Unit";"SCV";"Command Center";30;1
"Unit";"Hellion";"Factory";30;2
"Unit";"SCV";"Command Center";36;1
"Unit";"Hellion";"Factory";36;2
"Unit";"Hellion";"Factory";36;2
"Building";"BarracksReactor";NA;36;0
"Unit";"SCV";"Command Center";41;1
"Unit";"Banshee";"Starport";36;3
"Building";"SupplyDepot";NA;41;0
"Building";"SupplyDepot";NA;41;0
"Unit";"Hellion";"Factory";41;2
"Unit";"Marine";"Barracks";41;1
