"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";26;2
"Building";"Pylon";NA;29;0
"Building";"Stargate";NA;23;0
"Unit";"Oracle";"Stargate";34;3
"Building";"Assimilator";NA;38;0
"Building";"Assimilator";NA;39;0
"Unit";"Oracle";"Stargate";39;3
"Building";"Gateway";NA;37;0
"Building";"Pylon";NA;46;0
"Building";"Forge";NA;46;0
"Building";"TwilightCouncil";NA;46;0
"Unit";"Phoenix";"Stargate";53;2
"Building";"Pylon";NA;62;0
"Building";"TemplarArchive";NA;61;0
"Building";"Pylon";NA;62;0
"Building";"RoboticsFacility";NA;60;0
"Building";"Nexus";NA;54;0
"Building";"Assimilator";NA;62;0
"Building";"HighTemplar";NA;66;0
"Building";"HighTemplar";NA;66;0
"Building";"Assimilator";NA;64;0
"Building";"Pylon";NA;64;0
"Building";"Pylon";NA;64;0
"Unit";"Archon";"High Templar";68;0
"Building";"Gateway";NA;62;0
"Building";"Gateway";NA;64;0
