"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Unit";"Stalker";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";24;2
"Building";"TwilightCouncil";NA;26;0
"Unit";"Stalker";"Gateway";33;2
"Building";"Gateway";NA;35;0
"Building";"Gateway";NA;35;0
"Building";"Pylon";NA;43;0
"Building";"Assimilator";NA;42;0
"Building";"Pylon";NA;44;0
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";47;2
"Unit";"Stalker";"Gateway";47;2
"Building";"Pylon";NA;45;0
"Building";"RoboticsFacility";NA;42;0
"Unit";"Stalker";"Gateway";57;2
"Unit";"Stalker";"Gateway";57;2
"Unit";"Stalker";"Gateway";57;2
"Unit";"Observer";"Robotics Facility";56;1
"Building";"Pylon";NA;63;0
"Unit";"Stalker";"Gateway";65;2
"Unit";"Stalker";"Gateway";65;2
"Unit";"Observer";"Robotics Facility";63;1
"Building";"Pylon";NA;65;0
"Unit";"Observer";"Robotics Facility";72;1
"Building";"Nexus";NA;63;0
"Unit";"Observer";"Robotics Facility";76;1
"Building";"Forge";NA;74;0
"Building";"Forge";NA;74;0
"Building";"Pylon";NA;79;0
"Building";"Pylon";NA;79;0
"Upgrade";"Charge";"TwilightCouncil";72;0
"Unit";"Sentry";"Gateway";83;2
"Unit";"Sentry";"Gateway";83;2
"Unit";"Sentry";"Gateway";83;2
"Building";"Gateway";NA;80;0
"Building";"Gateway";NA;80;0
"Building";"Gateway";NA;80;0
"Building";"Gateway";NA;80;0
"Building";"Assimilator";NA;87;0
"Building";"Gateway";NA;80;0
"Building";"Assimilator";NA;89;0
"Building";"Pylon";NA;91;0
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Zealot";"Gateway";98;2
"Unit";"Observer";"Robotics Facility";95;1
"Building";"Assimilator";NA;97;0
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Unit";"Zealot";"Gateway";117;2
"Building";"Pylon";NA;116;0
"Unit";"Zealot";"Gateway";117;2
"Building";"Pylon";NA;117;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";80;0
"Upgrade";"ProtossGroundArmorsLevel1";"Forge";80;0
"Building";"Pylon";NA;117;0
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";147;2
