"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Extractor";NA;17
"Building";"SpawningPool";NA;18
"Building";"Hatchery";NA;19
"Unit";"Queen";"Hatchery";22
"Unit";"Overlord";"Larva";24
"Unit";"Zergling";"Larva";24
"Unit";"Zergling";"Larva";25
"Unit";"Queen";"Hatchery";28
"Unit";"Queen";"Hatchery";31
"Unit";"Zergling";"Larva";34
"Unit";"Zergling";"Larva";35
"Unit";"Zergling";"Larva";36
"Unit";"Zergling";"Larva";37
"Unit";"Zergling";"Larva";38
"Unit";"Zergling";"Larva";39
"Unit";"Overlord";"Larva";42
"Unit";"Zergling";"Larva";42
"Unit";"Zergling";"Larva";43
"Building";"CreepTumorQueen";NA;44
"Unit";"Queen";"Hatchery";44
"Unit";"Queen";"Hatchery";46
"Unit";"Zergling";"Larva";49
"Unit";"Zergling";"Larva";50
"Building";"CreepTumorQueen";NA;53
"Building";"CreepTumor";NA;53
"Building";"CreepTumorQueen";NA;53
"Building";"Hatchery";NA;53
"Unit";"Overlord";"Larva";54
"Unit";"Overlord";"Larva";54
"Unit";"Zergling";"Larva";57
"Unit";"Zergling";"Larva";58
"Unit";"Zergling";"Larva";59
"Unit";"Zergling";"Larva";60
"Unit";"Zergling";"Larva";61
"Unit";"Zergling";"Larva";62
"Unit";"Zergling";"Larva";63
"Unit";"Zergling";"Larva";64
"Building";"CreepTumor";NA;65
"Building";"CreepTumor";NA;65
"Building";"EvolutionChamber";NA;74
"Building";"EvolutionChamber";NA;74
"Unit";"Queen";"Hatchery";74
"Building";"CreepTumor";NA;76
"Building";"CreepTumor";NA;76
"Unit";"Overlord";"Larva";76
"Unit";"Overlord";"Larva";76
"Building";"Extractor";NA;76
"Unit";"Queen";"Hatchery";76
"Unit";"Zergling";"Larva";81
"Unit";"Zergling";"Larva";82
"Unit";"Overlord";"Larva";84
"Unit";"Zergling";"Larva";84
"Unit";"Zergling";"Larva";85
"Unit";"Zergling";"Larva";86
"Unit";"Zergling";"Larva";87
"Unit";"Zergling";"Larva";88
"Unit";"Zergling";"Larva";89
"Unit";"Zergling";"Larva";90
"Unit";"Zergling";"Larva";91
"Unit";"Zergling";"Larva";92
"Unit";"Zergling";"Larva";93
"Building";"CreepTumorQueen";NA;99
"Unit";"Zergling";"Larva";99
"Unit";"Zergling";"Larva";100
"Unit";"Zergling";"Larva";101
"Unit";"Zergling";"Larva";102
"Unit";"Zergling";"Larva";103
"Unit";"Zergling";"Larva";104
"Unit";"Zergling";"Larva";105
"Unit";"Zergling";"Larva";106
"Building";"CreepTumor";NA;107
"Building";"CreepTumorQueen";NA;107
"Building";"CreepTumor";NA;110
"Building";"Extractor";NA;111
"Building";"BanelingNest";NA;112
"Building";"CreepTumorQueen";NA;112
"Building";"CreepTumor";NA;112
"Building";"CreepTumor";NA;114
"Unit";"Zergling";"Larva";122
"Unit";"Zergling";"Larva";123
"Unit";"Zergling";"Larva";124
"Unit";"Zergling";"Larva";125
"Building";"Extractor";NA;126
"Building";"CreepTumor";NA;126
"Unit";"Overlord";"Larva";128
"Building";"CreepTumorQueen";NA;128
"Building";"CreepTumorQueen";NA;128
"Building";"CreepTumorQueen";NA;128
"Building";"CreepTumor";NA;128
"Building";"Hatchery";NA;128
"Building";"CreepTumorQueen";NA;131
"Building";"Extractor";NA;134
"Building";"Spire";NA;134
"Unit";"Baneling";"Zergling";134
"Building";"Extractor";NA;134
"Unit";"Baneling";"Zergling";134
"Unit";"Baneling";"Zergling";134
"Unit";"Baneling";"Zergling";134
"Unit";"Baneling";"Zergling";134
"Unit";"Zergling";"Larva";138
"Unit";"Zergling";"Larva";139
"Unit";"Zergling";"Larva";140
"Unit";"Zergling";"Larva";141
"Unit";"Zergling";"Larva";142
"Unit";"Zergling";"Larva";143
"Unit";"Zergling";"Larva";144
"Unit";"Zergling";"Larva";145
"Unit";"Zergling";"Larva";146
"Unit";"Zergling";"Larva";147
"Unit";"Overlord";"Larva";148
"Building";"CreepTumorQueen";NA;148
"Building";"CreepTumorQueen";NA;148
"Building";"CreepTumor";NA;148
"Building";"CreepTumor";NA;148
"Unit";"Overlord";"Larva";148
"Unit";"Overlord";"Larva";148
"Unit";"Overlord";"Larva";148
"Unit";"Overlord";"Larva";148
"Building";"Hatchery";NA;148
"Building";"CreepTumorQueen";NA;148
"Building";"CreepTumor";NA;148
"Building";"CreepTumor";NA;148
"Building";"CreepTumorQueen";NA;148
"Unit";"Zergling";"Larva";155
"Unit";"Zergling";"Larva";156
"Unit";"Zergling";"Larva";157
"Unit";"Zergling";"Larva";158
"Unit";"Queen";"Hatchery";159
"Unit";"Overlord";"Larva";161
"Building";"CreepTumor";NA;161
"Unit";"Mutalisk";"Larva";161
"Unit";"Mutalisk";"Larva";163
"Unit";"Mutalisk";"Larva";165
"Unit";"Mutalisk";"Larva";167
"Unit";"Mutalisk";"Larva";169
"Unit";"Zergling";"Larva";171
"Unit";"Zergling";"Larva";172
"Unit";"Zergling";"Larva";173
"Unit";"Zergling";"Larva";174
"Unit";"Zergling";"Larva";175
"Unit";"Zergling";"Larva";176
"Unit";"Zergling";"Larva";177
"Unit";"Zergling";"Larva";178
"Unit";"Zergling";"Larva";179
"Unit";"Zergling";"Larva";180
"Unit";"Baneling";"Zergling";181
"Unit";"Baneling";"Zergling";181
"Unit";"Baneling";"Zergling";181
"Building";"CreepTumor";NA;182
"Building";"CreepTumor";NA;182
"Building";"CreepTumor";NA;182
"Building";"CreepTumor";NA;182
"Building";"SporeCrawler";NA;182
"Unit";"Mutalisk";"Larva";182
"Unit";"Mutalisk";"Larva";184
"Unit";"Overlord";"Larva";188
"Building";"SporeCrawler";NA;188
"Unit";"Zergling";"Larva";188
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Unit";"Zergling";"Larva";191
"Unit";"Zergling";"Larva";192
"Unit";"Zergling";"Larva";193
"Unit";"Zergling";"Larva";194
"Unit";"Zergling";"Larva";195
"Unit";"Zergling";"Larva";196
"Unit";"Zergling";"Larva";197
"Unit";"Zergling";"Larva";198
"Unit";"Zergling";"Larva";199
"Unit";"Zergling";"Larva";200
"Unit";"Zergling";"Larva";201
"Unit";"Zergling";"Larva";202
"Unit";"Zergling";"Larva";203
"Unit";"Zergling";"Larva";204
"Unit";"Zergling";"Larva";205
"Unit";"Zergling";"Larva";206
"Unit";"Zergling";"Larva";207
"Unit";"Zergling";"Larva";208
"Unit";"Zergling";"Larva";209
"Unit";"Baneling";"Zergling";210
"Unit";"Baneling";"Zergling";210
"Unit";"Baneling";"Zergling";210
"Building";"CreepTumor";NA;210
"Building";"CreepTumor";NA;210
"Building";"CreepTumor";NA;210
"Building";"CreepTumor";NA;210
"Unit";"Mutalisk";"Larva";210
"Unit";"Mutalisk";"Larva";212
"Unit";"Mutalisk";"Larva";214
"Unit";"Zergling";"Larva";216
"Unit";"Zergling";"Larva";217
"Unit";"Zergling";"Larva";218
"Unit";"Zergling";"Larva";219
"Unit";"Zergling";"Larva";220
"Unit";"Zergling";"Larva";221
"Unit";"Zergling";"Larva";222
"Unit";"Zergling";"Larva";223
"Unit";"Mutalisk";"Larva";224
"Unit";"Mutalisk";"Larva";226
"Unit";"Queen";"Hatchery";230
"Unit";"Zergling";"Larva";234
"Unit";"Zergling";"Larva";235
"Unit";"Zergling";"Larva";236
"Unit";"Zergling";"Larva";237
"Unit";"Zergling";"Larva";238
"Unit";"Zergling";"Larva";239
"Unit";"Zergling";"Larva";240
"Unit";"Zergling";"Larva";241
"Unit";"Zergling";"Larva";242
"Unit";"Zergling";"Larva";243
"Unit";"Zergling";"Larva";244
"Unit";"Zergling";"Larva";245
"Unit";"Zergling";"Larva";246
"Unit";"Zergling";"Larva";247
"Unit";"Zergling";"Larva";248
"Unit";"Zergling";"Larva";249
"Unit";"Zergling";"Larva";250
"Unit";"Zergling";"Larva";251
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Unit";"Baneling";"Zergling";252
"Building";"CreepTumorQueen";NA;252
"Building";"CreepTumor";NA;252
"Building";"CreepTumorQueen";NA;252
"Building";"CreepTumorQueen";NA;252
"Building";"CreepTumorQueen";NA;252
"Unit";"Mutalisk";"Larva";252
"Unit";"Overlord";"Larva";254
"Unit";"Overlord";"Larva";254
"Unit";"Overlord";"Larva";254
"Unit";"Overlord";"Larva";254
"Building";"Hatchery";NA;254
"Building";"SporeCrawler";NA;254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Baneling";"Zergling";254
"Unit";"Zergling";"Larva";254
"Unit";"Zergling";"Larva";255
"Unit";"Zergling";"Larva";256
"Unit";"Zergling";"Larva";257
"Unit";"Zergling";"Larva";258
"Unit";"Zergling";"Larva";259
"Unit";"Zergling";"Larva";260
"Unit";"Zergling";"Larva";261
"Unit";"Zergling";"Larva";262
"Unit";"Zergling";"Larva";263
"Unit";"Zergling";"Larva";264
"Unit";"Zergling";"Larva";265
"Unit";"Zergling";"Larva";266
"Unit";"Zergling";"Larva";267
"Unit";"Zergling";"Larva";268
"Unit";"Zergling";"Larva";269
"Unit";"Zergling";"Larva";270
"Unit";"Zergling";"Larva";271
"Unit";"Zergling";"Larva";272
"Unit";"Zergling";"Larva";273
"Unit";"Zergling";"Larva";274
"Unit";"Zergling";"Larva";275
"Unit";"Zergling";"Larva";276
"Unit";"Zergling";"Larva";277
"Unit";"Zergling";"Larva";278
"Unit";"Zergling";"Larva";279
"Unit";"Zergling";"Larva";280
"Unit";"Zergling";"Larva";281
"Unit";"Zergling";"Larva";282
"Unit";"Zergling";"Larva";283
"Unit";"Zergling";"Larva";284
"Unit";"Zergling";"Larva";285
"Unit";"Zergling";"Larva";286
"Unit";"Zergling";"Larva";287
"Unit";"Zergling";"Larva";288
"Unit";"Zergling";"Larva";289
"Unit";"Zergling";"Larva";290
"Unit";"Zergling";"Larva";291
"Building";"InfestationPit";NA;292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Baneling";"Zergling";292
"Unit";"Zergling";"Larva";292
"Unit";"Zergling";"Larva";293
"Unit";"Zergling";"Larva";294
"Unit";"Zergling";"Larva";295
"Unit";"Zergling";"Larva";296
"Unit";"Zergling";"Larva";297
"Unit";"Zergling";"Larva";298
"Unit";"Zergling";"Larva";299
"Unit";"Zergling";"Larva";300
"Unit";"Zergling";"Larva";301
"Unit";"Zergling";"Larva";302
"Unit";"Zergling";"Larva";303
"Unit";"Zergling";"Larva";304
"Unit";"Zergling";"Larva";305
"Unit";"Zergling";"Larva";306
"Unit";"Zergling";"Larva";307
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Baneling";"Zergling";308
"Unit";"Zergling";"Larva";308
"Unit";"Zergling";"Larva";309
"Unit";"Zergling";"Larva";310
"Unit";"Zergling";"Larva";311
"Unit";"Zergling";"Larva";312
"Unit";"Zergling";"Larva";313
"Unit";"Zergling";"Larva";314
"Unit";"Zergling";"Larva";315
"Unit";"Mutalisk";"Larva";316
"Unit";"Mutalisk";"Larva";318
"Unit";"Zergling";"Larva";320
"Unit";"Zergling";"Larva";321
"Unit";"Zergling";"Larva";322
"Unit";"Zergling";"Larva";323
"Unit";"Zergling";"Larva";324
"Unit";"Zergling";"Larva";325
"Unit";"Zergling";"Larva";326
"Unit";"Zergling";"Larva";327
"Unit";"Zergling";"Larva";328
"Unit";"Zergling";"Larva";329
"Unit";"Zergling";"Larva";330
"Unit";"Zergling";"Larva";331
"Unit";"Zergling";"Larva";332
"Unit";"Zergling";"Larva";333
"Unit";"Zergling";"Larva";334
"Unit";"Zergling";"Larva";335
"Unit";"Zergling";"Larva";336
"Unit";"Zergling";"Larva";337
"Unit";"Zergling";"Larva";338
"Unit";"Zergling";"Larva";339
"Unit";"Zergling";"Larva";340
"Unit";"Zergling";"Larva";341
"Unit";"Zergling";"Larva";342
"Unit";"Zergling";"Larva";343
"Unit";"Zergling";"Larva";344
"Unit";"Zergling";"Larva";345
"Unit";"Zergling";"Larva";346
"Unit";"Zergling";"Larva";347
"Unit";"Zergling";"Larva";348
"Unit";"Zergling";"Larva";349
"Unit";"Zergling";"Larva";350
"Unit";"Zergling";"Larva";351
"Unit";"Zergling";"Larva";352
"Unit";"Zergling";"Larva";353
"Unit";"Zergling";"Larva";354
"Unit";"Zergling";"Larva";355
"Unit";"Zergling";"Larva";356
"Unit";"Zergling";"Larva";357
"Unit";"Mutalisk";"Larva";358
"Unit";"Mutalisk";"Larva";360
"Unit";"Mutalisk";"Larva";362
"Unit";"Mutalisk";"Larva";364
"Unit";"Mutalisk";"Larva";366
"Unit";"Mutalisk";"Larva";368
"Unit";"Mutalisk";"Larva";370
"Unit";"Zergling";"Larva";372
"Unit";"Zergling";"Larva";373
"Unit";"Zergling";"Larva";374
"Unit";"Zergling";"Larva";375
"Unit";"Zergling";"Larva";376
"Unit";"Zergling";"Larva";377
"Unit";"Zergling";"Larva";378
"Unit";"Zergling";"Larva";379
"Unit";"Zergling";"Larva";380
"Unit";"Zergling";"Larva";381
"Unit";"Zergling";"Larva";382
"Unit";"Zergling";"Larva";383
"Unit";"Zergling";"Larva";384
"Unit";"Zergling";"Larva";385
"Unit";"Zergling";"Larva";386
"Unit";"Zergling";"Larva";387
"Unit";"Zergling";"Larva";388
"Unit";"Zergling";"Larva";389
"Unit";"Zergling";"Larva";390
"Unit";"Zergling";"Larva";391
"Unit";"Zergling";"Larva";392
"Unit";"Zergling";"Larva";393
"Unit";"Zergling";"Larva";394
"Unit";"Zergling";"Larva";395
"Unit";"Zergling";"Larva";396
"Unit";"Zergling";"Larva";397
"Unit";"Queen";"Hatchery";398
"Unit";"Zergling";"Larva";400
"Unit";"Zergling";"Larva";401
"Unit";"Zergling";"Larva";402
"Unit";"Zergling";"Larva";403
"Unit";"Zergling";"Larva";404
"Unit";"Zergling";"Larva";405
"Unit";"Zergling";"Larva";406
"Unit";"Zergling";"Larva";407
"Unit";"Zergling";"Larva";408
"Unit";"Zergling";"Larva";409
"Unit";"Zergling";"Larva";410
"Unit";"Zergling";"Larva";411
"Unit";"Zergling";"Larva";412
"Unit";"Zergling";"Larva";413
"Unit";"Zergling";"Larva";414
"Unit";"Zergling";"Larva";415
"Unit";"Zergling";"Larva";416
"Unit";"Zergling";"Larva";417
"Unit";"Zergling";"Larva";418
"Unit";"Zergling";"Larva";419
"Unit";"Zergling";"Larva";420
"Unit";"Zergling";"Larva";421
"Unit";"Zergling";"Larva";422
"Unit";"Zergling";"Larva";423
"Unit";"Zergling";"Larva";424
"Unit";"Zergling";"Larva";425
"Unit";"Zergling";"Larva";426
"Unit";"Zergling";"Larva";427
"Unit";"Zergling";"Larva";428
"Unit";"Zergling";"Larva";429
"Unit";"Zergling";"Larva";430
"Unit";"Zergling";"Larva";431
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Baneling";"Zergling";432
"Unit";"Zergling";"Larva";432
"Unit";"Zergling";"Larva";433
"Unit";"Zergling";"Larva";434
"Unit";"Zergling";"Larva";435
"Unit";"Zergling";"Larva";436
"Unit";"Zergling";"Larva";437
"Unit";"Zergling";"Larva";438
"Unit";"Zergling";"Larva";439
"Unit";"Zergling";"Larva";440
"Unit";"Zergling";"Larva";441
"Unit";"Zergling";"Larva";442
"Unit";"Zergling";"Larva";443
"Building";"Extractor";NA;444
"Building";"CreepTumor";NA;444
"Unit";"Overlord";"Larva";444
"Unit";"Zergling";"Larva";444
"Unit";"Zergling";"Larva";445
"Unit";"Zergling";"Larva";446
"Unit";"Zergling";"Larva";447
"Unit";"Zergling";"Larva";448
"Unit";"Zergling";"Larva";449
"Unit";"Zergling";"Larva";450
"Unit";"Zergling";"Larva";451
"Unit";"Zergling";"Larva";452
"Unit";"Zergling";"Larva";453
"Unit";"Zergling";"Larva";454
"Unit";"Zergling";"Larva";455
"Unit";"Zergling";"Larva";456
"Unit";"Zergling";"Larva";457
"Unit";"Zergling";"Larva";458
"Unit";"Zergling";"Larva";459
"Unit";"Zergling";"Larva";460
"Unit";"Zergling";"Larva";461
"Unit";"Zergling";"Larva";462
"Unit";"Zergling";"Larva";463
"Unit";"Zergling";"Larva";464
"Unit";"Zergling";"Larva";465
"Unit";"Zergling";"Larva";466
"Unit";"Zergling";"Larva";467
