"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Building";"SupplyDepot";NA;19;0
"Unit";"Marine";"Barracks";19;1
"Unit";"SCV";"Command Center";21;1
"Building";"Refinery";NA;19;0
"Unit";"SCV";"Command Center";22;1
"Unit";"SCV";"Command Center";23;1
"Building";"CommandCenter";NA;19;0
"Unit";"SCV";"Command Center";24;1
"Building";"Factory";NA;21;0
"Building";"BarracksReactor";NA;23;0
"Unit";"SCV";"Command Center";25;1
"Unit";"SCV";"Command Center";27;1
"Building";"BarracksTechLab";NA;27;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";26;2
"Unit";"SCV";"Command Center";27;1
"Unit";"SCV";"Command Center";28;1
"Building";"Starport";NA;26;0
"Unit";"SCV";"Command Center";33;1
"Unit";"SCV";"Command Center";33;1
"Unit";"Hellion";"Factory";32;2
"Unit";"Hellion";"Factory";32;2
"Building";"SupplyDepot";NA;34;0
"Unit";"SCV";"Command Center";36;1
"Unit";"SCV";"Command Center";36;1
"Unit";"Hellion";"Factory";40;2
"Unit";"SCV";"Command Center";42;1
"Unit";"Hellion";"Factory";40;2
"Unit";"SCV";"Command Center";42;1
"Building";"SupplyDepot";NA;40;0
"Building";"SupplyDepot";NA;42;0
"Unit";"Banshee";"Starport";36;3
"Unit";"SCV";"Command Center";48;1
"Unit";"SCV";"Command Center";48;1
"Unit";"Hellion";"Factory";48;2
"Unit";"Hellion";"Factory";48;2
"Unit";"SCV";"Command Center";53;1
"Unit";"SCV";"Command Center";53;1
