"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;16
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Building";"Hatchery";NA;23
"Unit";"Zergling";"Larva";24
"Unit";"Zergling";"Larva";25
"Unit";"Queen";"Hatchery";26
"Unit";"Queen";"Hatchery";30
"Unit";"Overlord";"Larva";32
"Unit";"Zergling";"Larva";33
"Unit";"Zergling";"Larva";34
"Unit";"Zergling";"Larva";35
"Unit";"Zergling";"Larva";36
"Unit";"Queen";"Hatchery";40
"Unit";"Queen";"Hatchery";47
"Building";"CreepTumorQueen";NA;49
"Unit";"Overlord";"Larva";49
"Building";"RoachWarren";NA;49
"Building";"Extractor";NA;57
"Building";"Extractor";NA;57
"Building";"CreepTumor";NA;57
"Unit";"Overlord";"Larva";60
"Unit";"Overlord";"Larva";60
"Unit";"Overlord";"Larva";60
"Building";"CreepTumor";NA;60
"Unit";"Roach";"Larva";62
"Unit";"Roach";"Larva";64
"Unit";"Roach";"Larva";66
"Unit";"Roach";"Larva";68
"Unit";"Roach";"Larva";70
"Building";"CreepTumorQueen";NA;72
"Unit";"Roach";"Larva";72
"Unit";"Roach";"Larva";74
"Unit";"Roach";"Larva";79
"Unit";"Overlord";"Larva";83
"Unit";"Overlord";"Larva";84
"Upgrade";"GlialReconstitution";"RoachWarren";84
"Unit";"Overlord";"Larva";84
"Building";"CreepTumor";NA;84
"Unit";"Overlord";"Larva";84
"Unit";"Overlord";"Larva";84
"Building";"EvolutionChamber";NA;84
"Building";"CreepTumorQueen";NA;84
"Unit";"Overlord";"Larva";84
"Building";"CreepTumorQueen";NA;84
"Unit";"Roach";"Larva";92
"Unit";"Roach";"Larva";94
"Building";"Extractor";NA;96
"Unit";"Overlord";"Larva";96
"Building";"CreepTumor";NA;96
"Unit";"Roach";"Larva";96
"Unit";"Roach";"Larva";98
"Building";"Extractor";NA;104
"Building";"CreepTumor";NA;104
"Building";"CreepTumor";NA;104
"Building";"Extractor";NA;104
"Building";"CreepTumor";NA;104
"Building";"CreepTumorQueen";NA;107
"Unit";"Overlord";"Larva";107
"Unit";"Roach";"Larva";107
"Unit";"Roach";"Larva";109
"Unit";"Roach";"Larva";111
"Unit";"Roach";"Larva";113
"Unit";"Overlord";"Larva";115
"Building";"InfestationPit";NA;121
"Building";"CreepTumor";NA;123
"Building";"CreepTumor";NA;123
"Unit";"Overlord";"Larva";123
"Unit";"Roach";"Larva";123
"Unit";"Roach";"Larva";125
"Unit";"Roach";"Larva";127
"Building";"Hatchery";NA;129
"Building";"CreepTumorQueen";NA;129
"Unit";"Overlord";"Larva";131
"Building";"HydraliskDen";NA;132
"Building";"CreepTumor";NA;132
"Building";"CreepTumor";NA;132
"Building";"CreepTumorQueen";NA;132
"Building";"CreepTumor";NA;132
"Building";"SporeCrawler";NA;132
"Unit";"Overlord";"Larva";132
"Building";"CreepTumor";NA;132
"Unit";"Hydralisk";"Larva";132
"Unit";"Hydralisk";"Larva";134
"Unit";"Hydralisk";"Larva";136
"Unit";"Hydralisk";"Larva";138
"Unit";"Hydralisk";"Larva";140
"Unit";"Hydralisk";"Larva";142
"Building";"CreepTumor";NA;144
"Building";"CreepTumor";NA;144
"Building";"CreepTumor";NA;144
"Unit";"Hydralisk";"Larva";144
"Unit";"Hydralisk";"Larva";146
"Unit";"Hydralisk";"Larva";148
"Unit";"Overlord";"Larva";150
"Unit";"Hydralisk";"Larva";150
"Unit";"Hydralisk";"Larva";152
"Building";"CreepTumor";NA;161
"Unit";"Hydralisk";"Larva";161
"Unit";"Hydralisk";"Larva";163
"Unit";"Hydralisk";"Larva";165
"Unit";"Hydralisk";"Larva";167
"Unit";"Hydralisk";"Larva";169
"Unit";"Hydralisk";"Larva";171
"Unit";"Hydralisk";"Larva";173
"Unit";"Hydralisk";"Larva";175
"Unit";"Hydralisk";"Larva";177
"Unit";"Hydralisk";"Larva";179
"Unit";"Hydralisk";"Larva";181
"Unit";"Hydralisk";"Larva";183
"Unit";"Hydralisk";"Larva";185
"Unit";"Zergling";"Larva";187
"Unit";"Zergling";"Larva";188
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Unit";"Zergling";"Larva";191
"Unit";"Zergling";"Larva";192
"Unit";"Zergling";"Larva";193
"Unit";"Zergling";"Larva";194
"Unit";"Zergling";"Larva";195
"Unit";"Zergling";"Larva";196
"Unit";"Zergling";"Larva";197
"Unit";"Zergling";"Larva";198
"Unit";"Zergling";"Larva";199
"Unit";"Zergling";"Larva";200
"Unit";"Zergling";"Larva";201
"Unit";"Zergling";"Larva";202
"Unit";"Zergling";"Larva";203
"Unit";"Zergling";"Larva";204
"Unit";"Hydralisk";"Larva";205
"Unit";"Hydralisk";"Larva";207
"Unit";"Hydralisk";"Larva";209
"Unit";"Hydralisk";"Larva";211
"Unit";"Hydralisk";"Larva";213
"Unit";"Hydralisk";"Larva";215
"Unit";"Hydralisk";"Larva";217
"Unit";"Hydralisk";"Larva";219
"Building";"CreepTumor";NA;221
"Unit";"Hydralisk";"Larva";221
"Unit";"Hydralisk";"Larva";223
"Unit";"Hydralisk";"Larva";225
"Unit";"Hydralisk";"Larva";227
"Unit";"Hydralisk";"Larva";229
"Unit";"Zergling";"Larva";231
"Unit";"Zergling";"Larva";232
"Unit";"Zergling";"Larva";233
"Unit";"Zergling";"Larva";234
